driverId,lat,lng,speed,bearing
D48,18.485667,73.846544,37,240
D19,18.497149,73.863313,8,30
D26,18.499749,73.854886,33,141
D25,18.511082,73.905123,64,94
D17,18.500763,73.898838,57,249
D8,18.548636,73.816271,56,51
D28,18.499599,73.858505,8,201
D6,18.52491,73.886353,70,157
D12,18.493849,73.840141,3,317
D16,18.471907,73.872833,3,327
D36,18.53088,73.866463,50,50
D24,18.56769,73.824639,64,269
D29,18.504237,73.879581,116,16
D11,18.486455,73.88069,68,145
D33,18.55806,73.836208,56,166
D40,18.549918,73.878531,3,337
D17,18.564519,73.883123,44,303
D1,18.517674,73.80923,53,121
D10,18.553707,73.847219,53,279
D26,18.523525,73.891226,45,245
D31,18.490226,73.852907,37,325
D6,18.539041,73.841988,30,20
D22,18.500553,73.871965,69,57
D31,18.47357,73.829731,41,299
D50,18.545658,73.86292,51,97
D27,18.533798,73.862953,69,284
D28,18.513366,73.813271,4,250
D13,18.470588,73.838755,59,76
D37,18.543042,73.819323,48,13
D35,18.545944,73.898475,32,311
D25,18.508496,73.84505,104,155
D33,18.512855,73.861372,63,33
D26,18.477449,73.891854,85,293
D19,18.486898,73.841268,58,358
D35,18.505442,73.812143,8,250
D37,18.56928,73.859157,110,56
D50,18.546611,73.833401,31,231
D5,18.512601,73.859791,3,81
D8,18.553878,73.897986,58,165
D46,18.569985,73.89021,33,305
D26,18.481229,73.818007,42,68
D47,18.518753,73.867547,58,136
D23,18.54872,73.839735,38,10
D50,18.524483,73.878882,117,234
D35,18.520511,73.841632,38,269
D39,18.518238,73.89528,57,217
D15,18.50329,73.869568,8,180
D27,18.519798,73.871045,47,313
D31,18.484227,73.843558,33,90
D44,18.511491,73.887539,48,53
D27,18.506353,73.820877,68,259
D9,18.486466,73.847628,7,35
D26,18.492418,73.88729,1,230
D47,18.506365,73.896644,36,268
D13,18.52745,73.881259,93,287
D34,18.472073,73.83206,68,26
D4,18.558657,73.878749,54,122
D7,18.524306,73.869735,45,248
D40,18.532711,73.876744,38,194
D2,18.543659,73.831652,6,16
D16,18.488656,73.809566,1,297
D45,18.549045,73.891043,45,250
D40,18.549967,73.83147,41,277
D20,18.519576,73.813982,34,253
D12,18.548203,73.824981,68,203
D42,18.560033,73.826409,37,45
D15,18.54226,73.834797,61,141
D47,18.484082,73.872397,100,141
D37,18.501843,73.816888,54,40
D31,18.475531,73.899591,107,197
D25,18.523898,73.900183,59,242
D38,18.547933,73.885879,49,87
D31,18.48208,73.898345,101,92
D17,18.560733,73.837348,96,340
D18,18.561844,73.888204,56,301
D8,18.475684,73.848083,115,223
D25,18.538233,73.906449,1,75
D31,18.551027,73.821298,8,225
D25,18.487722,73.863656,46,144
D45,18.519144,73.848344,37,183
D50,18.479178,73.841455,31,245
D37,18.518003,73.81915,4,35
D27,18.507566,73.902261,35,86
D21,18.482298,73.865738,33,263
D20,18.544283,73.834082,70,195
D27,18.541047,73.885054,56,245
D24,18.537661,73.899712,61,120
D45,18.538514,73.899429,50,215
D43,18.493789,73.905533,7,266
D32,18.49326,73.841905,32,154
D46,18.486535,73.821628,59,42
D17,18.515184,73.825596,35,270
D35,18.557457,73.813098,1,4
D3,18.546311,73.906038,47,174
D33,18.530691,73.866849,39,100
D34,18.471491,73.808358,67,205
D46,18.553144,73.873572,1,332
D47,18.541626,73.810756,37,197
D24,18.537863,73.884301,65,18
D27,18.551381,73.883837,5,5
D10,18.478289,73.892151,51,104
D2,18.548834,73.807936,44,1
D36,18.56547,73.895144,56,125
D33,18.479021,73.824169,36,268
D36,18.541309,73.840785,48,101
D26,18.524662,73.814578,67,262
D42,18.552998,73.830823,32,360
D24,18.479811,73.840324,57,79
D37,18.498949,73.869494,31,196
D32,18.517134,73.831713,33,33
D45,18.500519,73.849979,43,196
D30,18.517552,73.892233,1,132
D41,18.568113,73.841464,57,82
D16,18.475806,73.885812,30,264
D45,18.533427,73.820856,69,313
D45,18.490321,73.857093,33,60
D43,18.564397,73.890609,43,250
D12,18.527343,73.888884,42,205
D20,18.491264,73.863565,35,300
D8,18.528413,73.837714,41,5
D15,18.486589,73.819046,41,334
D49,18.545758,73.853556,7,5
D46,18.519158,73.869188,60,120
D1,18.542841,73.862827,67,5
D9,18.563432,73.835201,99,150
D1,18.47748,73.891819,43,198
D48,18.530523,73.859401,30,329
D14,18.539078,73.890896,57,278
D38,18.555146,73.80736,45,186
D47,18.483573,73.871976,35,143
D41,18.503253,73.858276,35,315
D41,18.499428,73.862608,51,6
D17,18.480222,73.828294,8,87
D18,18.567949,73.820896,52,44
D33,18.482221,73.888519,2,328
D35,18.538037,73.82511,9,27
D21,18.564263,73.839172,2,159
D3,18.473871,73.865448,35,187
D19,18.473029,73.828097,7,186
D40,18.528114,73.808549,98,345
D38,18.543542,73.906237,44,44
D14,18.493416,73.887187,0,227
D50,18.546626,73.813007,63,28
D18,18.547578,73.82312,33,328
D10,18.502911,73.898739,119,171
D32,18.482082,73.823238,54,2
D36,18.477013,73.906631,47,345
D44,18.563838,73.871768,55,9
D30,18.561159,73.867266,54,36
D49,18.499187,73.846284,44,143
D44,18.552635,73.895805,35,265
D29,18.508456,73.885151,44,152
D37,18.517794,73.890807,85,133
D22,18.55034,73.826585,31,294
D47,18.531139,73.812052,39,132
D7,18.560449,73.875807,2,251
D35,18.541955,73.902048,58,236
D35,18.480857,73.869975,70,15
D43,18.515583,73.851195,68,95
D18,18.505419,73.872297,100,342
D21,18.480029,73.852623,44,177
D11,18.50137,73.85924,2,228
D31,18.490188,73.877106,47,212
D24,18.507722,73.887113,55,147
D32,18.524913,73.81025,42,346
D21,18.544937,73.886689,63,119
D7,18.488302,73.865922,58,194
D29,18.524729,73.872064,30,75
D13,18.506294,73.866273,36,309
D35,18.524763,73.848568,63,16
D30,18.537206,73.900612,57,131
D47,18.517652,73.862153,45,298
D19,18.541978,73.839795,102,129
D21,18.50204,73.89928,1,337
D14,18.505924,73.832939,39,120
D32,18.552898,73.841125,2,104
D35,18.57,73.817504,38,297
D12,18.540958,73.84959,8,345
D39,18.507493,73.815994,40,68
D24,18.481251,73.841039,6,254
D36,18.552108,73.857353,39,177
D35,18.490303,73.90424,117,60
D16,18.506633,73.823961,31,175
D19,18.569576,73.854994,1,233
D43,18.513848,73.832589,110,258
D11,18.526857,73.884914,38,145
D35,18.537447,73.828074,55,183
D6,18.550952,73.905231,38,0
D18,18.492504,73.849517,5,252
D1,18.513119,73.874981,47,302
D7,18.504419,73.860941,63,5
D46,18.484517,73.869646,87,103
D29,18.480977,73.904931,4,120
D4,18.552162,73.81821,59,222
D2,18.538519,73.901989,5,35
D20,18.511612,73.81211,30,25
D19,18.547343,73.811914,44,110
D8,18.485197,73.881602,33,51
D42,18.546298,73.85011,34,225
D21,18.493786,73.868347,43,47
D2,18.527924,73.880346,69,262
D33,18.548094,73.874767,94,329
D3,18.567805,73.823713,54,134
D18,18.563994,73.859678,91,95
D10,18.562781,73.890799,9,167
D48,18.557998,73.895276,67,281
D47,18.522003,73.87752,104,226
D7,18.540268,73.874018,63,210
D2,18.525928,73.896056,66,296
D5,18.54178,73.813969,58,347
D18,18.530096,73.849255,2,344
D20,18.565385,73.857417,41,157
D3,18.501303,73.905292,51,114
D22,18.498285,73.850355,1,89
D4,18.550486,73.898699,51,304
D4,18.515375,73.847908,10,311
D13,18.532259,73.812786,82,197
D45,18.483513,73.811604,3,6
D13,18.484838,73.873829,49,104
D35,18.498563,73.818499,57,277
D23,18.53468,73.87278,38,84
D41,18.502888,73.822672,8,347
D32,18.477379,73.830688,60,318
D4,18.567664,73.855523,39,327
D8,18.52635,73.859778,88,109
D33,18.55762,73.834954,62,55
D11,18.497637,73.870428,39,28
D33,18.49316,73.864752,1,209
D27,18.510939,73.861732,47,32
D37,18.537296,73.847944,64,15
D2,18.547311,73.896064,93,1
D7,18.491598,73.845514,56,5
D29,18.556938,73.896351,39,64
D48,18.52565,73.877891,1,314
D48,18.547363,73.846115,68,106
D29,18.493773,73.815932,111,20
D17,18.514444,73.872391,36,340
D36,18.512627,73.852704,8,276
D49,18.510309,73.821511,43,77
D49,18.489377,73.904363,40,323
D33,18.514234,73.85921,39,99
D34,18.534844,73.843417,45,344
D34,18.567959,73.868193,10,348
D8,18.564401,73.836521,59,174
D18,18.548756,73.892459,33,36
D39,18.545762,73.831806,7,221
D43,18.498893,73.853346,10,293
D34,18.505175,73.842186,2,156
D13,18.481006,73.889079,63,110
D47,18.4999,73.821258,48,224
D16,18.48488,73.886936,60,88
D19,18.535235,73.888015,32,99
D1,18.487042,73.883825,32,292
D23,18.5128,73.887338,95,148
D28,18.509642,73.895238,63,35
