ride_id,driver_id,user_id,vehicle_id,pickup_zone,drop_zone,pickup_lat,pickup_lng,drop_lat,drop_lng,distance_km,ride_started_at,hour_of_day,day_of_week,is_weekend,is_peak_hour,is_holiday,weather_condition,is_raining,rainfall_mm,traffic_congestion_score,driver_type,road_types_used,total_turns,total_signals,google_eta_seconds,google_eta_min,ml_predicted_eta_min,actual_duration_min,eta_error_pct,is_rerouted,reroute_count,fare_inr,ride_status
1640545a-7f0f-4d2b-a73b-014b12fb9e4d,571f49f5-a255-49f9-95fb-2053557d4319,c63d6d29-6af2-45fd-88ba-302c61ececc0,4,Kharadi,Shivajinagar,18.5498916,73.9471968,18.5342441,73.8488221,13.555,2026-02-18 14:41:15,14,2,0,0,0,clear,0,0.0,1.7,experienced,main_road,28,13,1394,23.23,22.59,42.02,46.24,0,0,221.37,completed
da09ab10-3e1d-44d0-aa87-4baefbf40c92,82c32f6d-7086-4c9a-92d1-c3df8179a960,2fba4de2-1dec-4845-9e71-12d801a6bd24,7,Hinjewadi,Shivajinagar,18.5881907,73.7405123,18.5257035,73.8444039,17.4,2026-02-07 01:00:15,1,5,1,0,0,cloudy,0,0.0,1.2,experienced,local_road,36,10,1491,24.85,25.78,40.03,35.6,0,0,287.81,completed
e52aaf10-8871-4975-97f7-f95ece0e51d9,3b1b1827-97cf-48af-9584-b21a739b1482,c63d6d29-6af2-45fd-88ba-302c61ececc0,9,Koregaon Park,Shivajinagar,18.5353373,73.8880519,18.5308305,73.8406885,7.414,2026-02-25 08:02:15,8,2,0,1,0,cloudy,0,0.0,1.5,experienced,main_road,12,5,1173,19.55,25.33,45.9,44.81,0,0,116.06,completed
37bb7712-a7d5-4ad0-b947-9ee2b027b3de,3b1b1827-97cf-48af-9584-b21a739b1482,47e68b0b-d300-4243-b472-e899bc1e626f,9,Aundh,Koregaon Park,18.5564822,73.8058953,18.5329041,73.8982386,13.501,2026-02-21 15:54:15,15,5,1,0,0,clear,0,0.0,1.21,experienced,local_road,39,16,1388,23.13,22.14,41.33,46.43,0,0,237.58,completed
9d7f55ab-1087-4465-b8ec-dabe0db72d0c,237bc250-4458-41b6-9ac6-4a27d7323bd6,7522fed3-a0fa-4625-b63b-15c824af857a,1,Camp (MG Road),Wakad,18.5123601,73.8774599,18.594063,73.7624339,21.3,2026-03-12 06:24:15,6,3,0,0,0,clear,0,0.0,1.77,experienced,highway,62,26,2190,36.5,36.44,59.84,39.1,0,0,336.26,completed
900c2a14-af58-47b4-ac2a-aefebc06a6d1,571f49f5-a255-49f9-95fb-2053557d4319,93642ba7-f0cb-4485-954b-a04b021a382e,4,Hinjewadi,Hadapsar,18.5951058,73.7388106,18.5021277,73.9249555,27.866,2026-01-27 13:31:15,13,1,0,0,0,rainy,1,13.71,1.75,experienced,"main_road,local_road",76,22,2866,47.77,50.73,129.41,60.8,1,2,405.4,completed
1a29a7ad-a282-460d-adbe-a8014cc7dc1b,1bbcc64c-7b6d-4352-a3cb-2cd0aadf675a,e83ebe4f-a281-4b87-a7ca-e6092040ddd7,6,Kothrud,Shivajinagar,18.5067735,73.8036415,18.5296965,73.8529248,7.704,2026-02-14 00:21:15,0,5,1,0,0,clear,0,0.0,1.01,new,main_road,22,5,660,11.0,11.07,19.29,42.61,0,0,130.06,completed
997a1799-fafc-4b72-8b1b-800582be2eae,879270a3-1409-4ac9-bb1b-ef084ca2ff80,47e68b0b-d300-4243-b472-e899bc1e626f,8,Kothrud,Kharadi,18.5026186,73.8036462,18.5525375,73.9393139,19.428,2026-01-19 17:28:15,17,0,0,0,0,clear,0,0.0,1.0,experienced,"main_road,local_road",30,16,1998,33.3,34.25,55.62,38.42,0,0,313.71,completed
989ae913-7b50-4ef8-b26c-a9a4287c0d67,82c32f6d-7086-4c9a-92d1-c3df8179a960,ad2d979a-b741-4d1c-96ee-b0632f30d7d5,5,Baner,Shivajinagar,18.5616048,73.7872459,18.5301473,73.8481624,10.224,2026-01-28 23:17:15,23,2,0,0,0,clear,0,0.0,1.51,experienced,highway,21,7,1051,17.52,16.7,28.26,40.91,0,0,155.17,completed
cd7c10a5-fb6f-4e63-860f-df82f1d7ecfc,237bc250-4458-41b6-9ac6-4a27d7323bd6,c63d6d29-6af2-45fd-88ba-302c61ececc0,2,Kharadi,Aundh,18.5530102,73.9432595,18.5520319,73.8076743,18.676,2025-12-25 10:06:15,10,3,0,1,0,rainy,1,2.93,2.0,experienced,"main_road,local_road",47,13,2955,49.25,59.22,150.29,60.6,0,0,276.12,completed
51df18ec-1e11-4e3c-8f80-fee57bda9d0d,571f49f5-a255-49f9-95fb-2053557d4319,e83ebe4f-a281-4b87-a7ca-e6092040ddd7,4,Koregaon Park,FC Road,18.5419256,73.8992718,18.5227186,73.8376797,9.142,2026-01-02 22:06:15,22,4,0,0,0,rainy,1,2.18,1.26,experienced,"main_road,highway",13,6,940,15.67,17.92,36.41,50.78,0,0,165.42,completed
ff7e86b9-e409-46fe-b617-5301219d724b,72b4eb2e-671e-4e85-a792-d95a622e4ec9,ece7a47b-687c-4509-abc3-d23fb1c4a95f,6,Shivajinagar,Hadapsar,18.5336661,73.8495904,18.4978255,73.9290584,12.148,2026-02-24 21:07:15,21,1,0,0,0,clear,0,0.0,2.0,experienced,"main_road,local_road",24,17,1249,20.82,20.56,31.91,35.57,0,0,199.73,completed
207136a8-f052-4338-adb4-3744c6e6c2f5,3b1b1827-97cf-48af-9584-b21a739b1482,ece7a47b-687c-4509-abc3-d23fb1c4a95f,5,Hinjewadi,Camp (MG Road),18.5968511,73.7407903,18.5227495,73.879538,23.405,2026-03-08 00:30:15,0,6,1,0,0,clear,0,0.0,1.53,experienced,"main_road,local_road",70,34,2006,33.43,32.99,61.08,45.99,0,0,354.21,completed
b072ae6f-1146-4521-866a-d64e5448ec48,237bc250-4458-41b6-9ac6-4a27d7323bd6,ece7a47b-687c-4509-abc3-d23fb1c4a95f,3,FC Road,Kharadi,18.5215606,73.8410421,18.5586237,73.9345789,14.176,2026-03-03 17:34:15,17,1,0,0,0,clear,0,0.0,1.49,experienced,main_road,31,10,1458,24.3,23.72,45.15,47.46,0,0,223.23,completed
b2b44d59-90ad-4af8-9c22-97a1b4ceb558,72b4eb2e-671e-4e85-a792-d95a622e4ec9,09c7bf5c-2e22-474b-8466-6fa748661acf,5,Baner,Wakad,18.5564422,73.7918259,18.5943621,73.7602113,7.461,2025-12-27 10:16:15,10,5,1,0,0,rainy,1,1.07,1.71,senior,"main_road,highway",21,6,767,12.78,19.83,47.46,58.22,0,0,122.21,completed
6b1926bb-b9ff-4024-8343-bd5bcd2c2939,37b1137a-e666-40a9-a61c-e5740b6e50d8,dc8d8012-b5ad-4c42-b993-2441ab6e5796,1,Kharadi,Baner,18.5586455,73.9455855,18.564195,73.7832,21.577,2026-01-29 05:01:15,5,3,0,0,0,clear,0,0.0,1.0,experienced,"main_road,highway",62,13,1849,30.82,30.21,45.8,34.04,0,0,318.72,completed
486a98e4-7594-45a4-90de-43d3a07f9aef,1bbcc64c-7b6d-4352-a3cb-2cd0aadf675a,7522fed3-a0fa-4625-b63b-15c824af857a,2,Wakad,Koregaon Park,18.6063681,73.7602933,18.5295848,73.8920416,22.144,2026-03-05 06:16:15,6,3,0,0,0,clear,0,0.0,1.99,senior,"main_road,local_road",41,31,2277,37.95,36.27,53.89,32.7,0,0,351.93,completed
8f3197f0-cded-49c5-84ec-bb1651ddabe8,3b1b1827-97cf-48af-9584-b21a739b1482,ece7a47b-687c-4509-abc3-d23fb1c4a95f,8,Wakad,Kharadi,18.5998407,73.7594647,18.5507728,73.9440159,25.495,2026-03-15 23:52:15,23,6,1,0,0,cloudy,0,0.0,1.46,new,"main_road,local_road",79,21,2622,43.7,42.73,87.35,51.08,0,0,390.16,completed
49b4a3ad-c68b-44c9-983a-720dfb91f5c9,8e7da535-ca05-4c41-9bfc-ec4b94af6787,7522fed3-a0fa-4625-b63b-15c824af857a,3,Camp (MG Road),FC Road,18.5206589,73.8729855,18.5272742,73.8455738,3.922,2026-02-06 19:52:15,19,4,0,1,0,clear,0,0.0,1.77,senior,highway,6,5,620,10.33,13.53,20.43,33.77,0,0,105.94,completed
44bd9e79-f27a-4656-9e7d-223c0b865894,571f49f5-a255-49f9-95fb-2053557d4319,47e68b0b-d300-4243-b472-e899bc1e626f,10,Wakad,Aundh,18.6014153,73.7618188,18.5611836,73.803272,8.245,2026-02-21 03:22:15,3,5,1,0,0,clear,0,0.0,1.48,new,local_road,23,6,706,11.77,11.29,19.99,43.52,0,0,172.26,completed
